Word,Score
스낵바,1381.657432167275
커피,1381.657432167275
인원,1331.442840461047
식대,1291.808908005779
상위,1192.4692835203386
자기계발,1132.4737694861105
휴가,1102.8273435348785
건강검진,1031.1570940655624
보너스,975.1069869516703
근무,952.4552377581857
유연,952.4552377581857
기업,922.0188615123425
업계,921.67113625005
평균,921.67113625005
선도,873.8059311187145
산업,836.0068957176409
유망,792.7473109367453
시설,653.8983535911276
편의,653.8983535911276
장비,615.8105127926597
재택근무,594.4701295323912
유급,446.3183127262517
누적,419.10644466856013
투자,419.10644466856013
동호회,414.03388921150173
사내,414.03388921150173
요원,396.9398342333831
복지,363.251230496353
포인트,363.251230496353
워크샵,354.7194547234002
육아휴직,304.88648034518053
스톡옵션,279.15124393191167
성장,255.6064766016199
통신비,251.6694298107032
의료,244.30437236028828
출산휴가,207.68881410724555
복장,199.0119053296122
자율,199.0119053296122
기능,191.09196683362717
대출,177.07848890117876
단체,151.5228525840505
보험,151.5228525840505
아시아,149.8089350502209
태평양,149.8089350502209
어린이,133.32656878305806
퇴사,132.0357139915699
직원,76.57338664629113
할인,76.57338664629113
수평,65.52433929143642
조직,65.52433929143642
