Word,Score
디자인,197.75668628795248
오피스,78.10499703058214
마케팅,74.57626687629275
관리,64.8959839488736
그래픽,55.38085332455829
영업,53.62603134904281
개발,46.85537155639929
전략,43.752598315205304
분석,43.435202889882625
설계,38.08028429390475
기획,34.976992852390126
브랜딩,27.749026363792606
소프트웨어,24.68702746973148
광고,23.776649171850387
운영,23.739376483194405
데이터,23.006580157960876
서비스,20.891902026888282
서버,20.091411005679873
콘텐츠,19.054368174049895
러닝,17.10668263921303
컨설팅,16.786205376824856
제품,16.247424723972728
시스템,15.887463967364914
엔지니어링,15.632672108065666
사업,14.98948761366748
영어,14.680705069072003
문서,14.212896200503183
타이포그래피,13.222347798399383
프로젝트,12.759336876280354
고객,12.499547282220352
임베디드,12.169608551086423
실력,11.623392157874001
이벤트,10.526954308047419
회계,10.464622844589295
영상,10.243146061594558
계획,9.75551997589054
랙션,9.58532012511411
인터,9.58532012511411
교육,9.33527806152157
브랜드,9.032153037613313
네트워크,8.444286876389215
커뮤니케이션,8.370758012081128
보안,8.202674901796511
담당자,7.80979389476025
시장,7.64757378972406
제작,7.071693405786372
온라인,7.0443362210110925
게임,6.691063089861681
재무,6.46630061334348
솔루션,6.302767537708991
