Word,Score
개발,1166.2546931934098
보유,921.5166548745989
관련,873.2392340878272
커뮤니케이션,757.4360755141474
이해,720.9298586923313
운영,581.1813572653921
사용,573.2812413153099
서비스,568.447662396239
기획,540.423007870387
활용,538.9387863693953
관리,515.6036290945298
데이터,492.5470245037689
학력,477.6596481802077
분석,466.8238106795289
마케팅,457.5143224425707
디자인,457.38290633781656
이해도,457.16740401665237
협업,449.2171838130552
기술,439.5939905661258
문제,435.8087600944701
필수,394.4618969367183
설계,391.5654001647117
해결,387.7192963105298
고객,376.2171284501259
유관,373.95351636958935
무관,370.1875060874986
프로젝트,346.4417653706853
지식,344.8137617568265
분야,341.9344524949002
영어,314.9002095525952
관심,308.8926128507268
작성,288.9143020883642
학사,288.0124695839477
콘텐츠,280.6243102386227
주도,273.1513442337923
환경,269.2285326499814
실무,268.4360227718225
사고,262.21924667872855
시스템,261.56415698443027
적극,257.0616853745966
비즈니스,254.22325455704237
논리,242.50807700487036
소통,240.15724154533268
제출,239.2017323183285
언어,238.5263342659715
포트폴리오,238.38550253788063
제작,236.01136151226243
전략,233.75212745045863
제품,223.84750613860564
개선,221.14185921086434
